Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
1142, 2304, 8
1145, 2025, 8
1185, 1956, 8
1221, 1956, 8
1250, 5377, 8
1276, 2025, 8
1313, 5308, 8
1340, 5238, 8
1353, 5168, 8
1378, 2095, 8
1398, 9569, 8
1422, 2095, 8
1449, 1886, 8
1456, 1956, 9
1467, 1956, 9
1487, 1956, 9
1511, 1886, 9
1514, 2025, 9
1549, 1886, 9
1553, 1955, 9
1583, 2026, 9
1605, 1956, 10
1630, 1956, 10
1651, 1955, 10
1665, 1885, 10
1687, 1955, 10
1713, 1886, 10
1732, 2025, 10
1736, 1886, 10
1758, 2026, 10
1784, 1956, 10
1802, 1955, 10
1824, 1955, 10
1838, 1956, 10
1851, 1886, 10
1873, 1886, 11
1895, 1956, 11
1932, 1885, 11
1943, 2025, 12
1965, 1886, 13
1980, 1956, 13

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
13, 8, 9708,0, 2202


Interpolation Search
Item, Running Time, Numer of comparisons
11, 2235, 1
41, 2235, 3
47, 2444, 2
68, 2515, 2
82, 2374, 2
101, 2374, 2
124, 2375, 2
156, 2375, 2
164, 2445, 2
176, 3143, 3
198, 3143, 3
211, 3143, 3
235, 3142, 3
252, 3142, 3
262, 3702, 4
290, 3003, 3
318, 3003, 3
339, 3353, 3
358, 3073, 3
386, 2165, 2
393, 3003, 3
415, 3003, 3
432, 3073, 3
440, 3772, 4
465, 3772, 3
488, 3772, 3
495, 3073, 3
515, 3212, 3
539, 3212, 3
546, 3143, 3
569, 2933, 3
588, 3143, 3
604, 3073, 3
619, 3073, 3
637, 3003, 3
667, 3003, 3
687, 3003, 3
712, 3003, 3
731, 3003, 3
765, 3003, 4
781, 3003, 3
814, 3003, 3
836, 2445, 2
869, 2445, 2
893, 2445, 2
902, 2305, 2
922, 2305, 2
941, 2374, 2
958, 2444, 2
968, 3073, 3
983, 3003, 3
1002, 3004, 3
1023, 3004, 3
1045, 2933, 3
1057, 3003, 3
1076, 3003, 3
1084, 3632, 4
1100, 3632, 4
1118, 3003, 3
1142, 3003, 3
1145, 3632, 4
1185, 3632, 3
1221, 3632, 4
1250, 3073, 3
1276, 3143, 2
1313, 3143, 2
1340, 3143, 3
1353, 3143, 3
1378, 3143, 3
1398, 3143, 3
1422, 3143, 3
1449, 3143, 3
1456, 3143, 3
1467, 3143, 2
1487, 3143, 2
1511, 3143, 2
1514, 2445, 2
1549, 2445, 2
1553, 2375, 2
1583, 2375, 2
1605, 2375, 2
1630, 2375, 2
1651, 2375, 2
1665, 2375, 2
1687, 2375, 2
1713, 2375, 3
1732, 2375, 3
1736, 2374, 2
1758, 2235, 2
1784, 2235, 2
1802, 2235, 2
1824, 2235, 2
1838, 2375, 2
1851, 2585, 2
1873, 2305, 2
1895, 2025, 2
1932, 2025, 3
1943, 2025, 2
1965, 2025, 2
1980, 2025, 2

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
4, 2, 3772,0, 2823
Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
2450, 1467, 1
1127, 1327, 3
2709, 1396, 5
2949, 1397, 7
586, 1396, 9
2155, 1467, 11
1341, 2025, 13
1144, 1466, 15
1444, 2095, 17
3258, 1537, 19
3861, 1537, 21
2339, 1537, 23
1843, 1606, 25
3405, 1676, 27
481, 2096, 29
3652, 1676, 31
1104, 1677, 33
1970, 1746, 35
2383, 2445, 37
2499, 2095, 39
1328, 1816, 41
1837, 1886, 43
1471, 1885, 45
3442, 1746, 47
59, 2025, 49
3200, 1816, 51
1036, 1955, 53
271, 1886, 55
3018, 1886, 57
1102, 1886, 59
3255, 1956, 61
3567, 2025, 63
2845, 2026, 65
375, 2025, 67
3462, 2095, 69
3272, 2025, 71
3881, 2025, 73
3284, 2096, 75
2187, 2165, 77
2852, 2234, 79
526, 2165, 81
3409, 2235, 83
1965, 2025, 85
1655, 2026, 87
3676, 2235, 89
1322, 2305, 91
2744, 2305, 93
124, 2235, 95
2857, 2305, 97
2807, 2374, 99
1136, 2444, 101
2996, 2374, 103
3380, 2444, 105
1014, 2375, 107
226, 2584, 109
